,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.1,0.21,0.2,0.3490658503988659,9.80665,10.0,1.0999999999999999,0.9042,-0.19579999999999986
0,0.01,0.21,0.2,0.3490658503988659,9.80665,10.0,0.9899999999999852,0.9042,-0.08579999999998522
0,0.001,0.21,0.2,0.3490658503988659,9.80665,10.0,0.9304000000000283,0.9042,-0.026200000000028312
0,0.0001,0.21,0.2,0.3490658503988659,9.80665,10.0,0.9283199999991704,0.9042,-0.02411999999917036
0,0.1,0.21,0.3,0.3490658503988659,9.80665,10.0,1.0999999999999999,0.9042,-0.19579999999999986
0,0.01,0.21,0.3,0.3490658503988659,9.80665,10.0,1.0585714285714123,0.9042,-0.15437142857141228
0,0.001,0.21,0.3,0.3490658503988659,9.80665,10.0,0.9325000000000271,0.9042,-0.02830000000002708
0,0.0001,0.21,0.3,0.3490658503988659,9.80665,10.0,0.9300099999991664,0.9042,-0.025809999999166444
0,0.1,0.21,0.4,0.3490658503988659,9.80665,10.0,1.2,0.9042,-0.29579999999999995
0,0.01,0.21,0.4,0.3490658503988659,9.80665,10.0,1.0149999999999857,0.9042,-0.11079999999998569
0,0.001,0.21,0.4,0.3490658503988659,9.80665,10.0,0.9355000000000254,0.9042,-0.03130000000002542
0,0.0001,0.21,0.4,0.3490658503988659,9.80665,10.0,0.9324299999991608,0.9042,-0.02822999999916076
0,0.1,0.21,0.5,0.3490658503988659,9.80665,10.0,1.2,0.9042,-0.29579999999999995
0,0.01,0.21,0.5,0.3490658503988659,9.80665,10.0,0.9999999999999876,0.9042,-0.09579999999998756
0,0.001,0.21,0.5,0.3490658503988659,9.80665,10.0,0.9397000000000231,0.9042,-0.03550000000002307
0,0.0001,0.21,0.5,0.3490658503988659,9.80665,10.0,0.935759999999153,0.9042,-0.03155999999915304
0,0.1,0.21,0.6,0.3490658503988659,9.80665,10.0,1.3,0.9042,-0.39580000000000004
0,0.01,0.21,0.6,0.3490658503988659,9.80665,10.0,0.9899999999999899,0.9042,-0.08579999999998988
